end,use_time,slon,slat,match_name,lon,lat
广州,01小时40分钟,114.310176,30.590076,广东省广州市,113.25916927705671,23.13273721925823
湛江,02小时05分钟,114.310176,30.590076,广东省湛江市,110.35304514467728,21.272492848687143
青岛,02小时05分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
北京首都,04小时00分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
成都,02小时05分钟,114.310176,30.590076,四川省成都市,104.06379643064969,30.575415504297645
北京首都,02小时00分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
深圳,01小时55分钟,114.310176,30.590076,广东省深圳市,114.05282492812273,22.54624408786885
昆明,02小时30分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
大连,04小时15分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
珠海,02小时05分钟,114.310176,30.590076,广东省珠海市,113.57185315944909,22.27465990841014
重庆,01小时35分钟,114.310176,30.590076,重庆市,106.54676332042845,29.566553244633337
北京大兴,02小时05分钟,114.310176,30.590076,北京市大兴区,116.33534122137306,39.72559391206863
西安,01小时35分钟,114.310176,30.590076,陕西省西安市,108.93498964565686,34.344761972504
天津,01小时50分钟,114.310176,30.590076,天津市,117.19521192889685,39.08431230999273
北海,02小时15分钟,114.310176,30.590076,广西壮族自治区北海市,109.11595508764754,21.483692657825497
榆林,02小时00分钟,114.310176,30.590076,陕西省榆林市,109.72852054867005,38.285242210082714
海口,02小时25分钟,114.310176,30.590076,海南省海口市,110.19412309482485,20.047918126783042
济南,01小时40分钟,114.310176,30.590076,山东省济南市,117.11400007864786,36.65163870613015
长春,03小时00分钟,114.310176,30.590076,吉林省长春市,125.31713633530781,43.81454427972397
舟山,01小时35分钟,114.310176,30.590076,浙江省舟山市,122.20323721057505,29.98798104178166
上海浦东,01小时40分钟,114.310176,30.590076,上海市浦东新区,121.54006318712729,31.223605658515723
西安,01小时30分钟,114.310176,30.590076,陕西省西安市,108.93498964565686,34.344761972504
上海虹桥,01小时35分钟,114.310176,30.590076,上海市长宁区虹桥,121.40763275839589,31.204188655606025
柳州,01小时45分钟,114.310176,30.590076,广西壮族自治区柳州市,109.42347095163684,24.32914249131936
广州,01小时50分钟,114.310176,30.590076,广东省广州市,113.25916927705671,23.13273721925823
库尔勒,06小时10分钟,114.310176,30.590076,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市,86.1720613316129,41.72444122936953
成都天府,02小时05分钟,114.310176,30.590076,四川省成都市天府,104.05956185955627,30.54989873855247
深圳,02小时00分钟,114.310176,30.590076,广东省深圳市,114.05282492812273,22.54624408786885
包头,02小时15分钟,114.310176,30.590076,内蒙古自治区包头市,109.94746389588421,40.62020975291547
沈阳,04小时15分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
博乐,07小时10分钟,114.310176,30.590076,新疆维吾尔自治区博尔塔拉蒙古自治州博乐市,82.04818553944119,44.8528932218732
成都天府,01小时55分钟,114.310176,30.590076,四川省成都市天府,104.05956185955627,30.54989873855247
太原,01小时50分钟,114.310176,30.590076,山西省太原市,112.54335856406222,37.86992737747488
北京大兴,01小时55分钟,114.310176,30.590076,北京市大兴区,116.33534122137306,39.72559391206863
青岛,01小时50分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
贵阳,03小时10分钟,114.310176,30.590076,贵州省贵阳市,106.62463609556339,26.65036573297856
东营,01小时40分钟,114.310176,30.590076,山东省东营市,118.66896617868011,37.433314191245856
重庆,01小时40分钟,114.310176,30.590076,重庆市,106.54676332042845,29.566553244633337
昆明,02小时25分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
西安,01小时25分钟,114.310176,30.590076,陕西省西安市,108.93498964565686,34.344761972504
上海浦东,01小时45分钟,114.310176,30.590076,上海市浦东新区,121.54006318712729,31.223605658515723
昆明,02小时10分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
银川,02小时20分钟,114.310176,30.590076,宁夏回族自治区银川市,106.22657808588562,38.48732343474717
温州,01小时35分钟,114.310176,30.590076,浙江省温州市,120.69522094158627,27.997131227693032
银川,02小时10分钟,114.310176,30.590076,宁夏回族自治区银川市,106.22657808588562,38.48732343474717
嘉峪关,05小时10分钟,114.310176,30.590076,甘肃省嘉峪关市,98.28760243695947,39.77241879818138
深圳,01小时50分钟,114.310176,30.590076,广东省深圳市,114.05282492812273,22.54624408786885
温州,01小时25分钟,114.310176,30.590076,浙江省温州市,120.69522094158627,27.997131227693032
厦门,01小时45分钟,114.310176,30.590076,福建省厦门市,118.0839329117508,24.48227393692977
成都天府,02小时15分钟,114.310176,30.590076,四川省成都市天府,104.05956185955627,30.54989873855247
北京首都,01小时50分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
拉萨,04小时20分钟,114.310176,30.590076,西藏自治区拉萨市,91.17045622059155,29.656279830484728
沈阳,02小时50分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
青岛,02小时15分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
珠海,02小时00分钟,114.310176,30.590076,广东省珠海市,113.57185315944909,22.27465990841014
兰州,02小时30分钟,114.310176,30.590076,甘肃省兰州市,103.83182475519547,36.06112521284291
西宁,02小时30分钟,114.310176,30.590076,青海省西宁市,101.77586195007572,36.616702529818106
哈尔滨,04小时55分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
上海虹桥,01小时30分钟,114.310176,30.590076,上海市长宁区虹桥,121.40763275839589,31.204188655606025
青岛,02小时00分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
长治,01小时30分钟,114.310176,30.590076,山西省长治市,113.11073000351433,36.19497616579607
呼和浩特,01小时55分钟,114.310176,30.590076,内蒙古自治区呼和浩特市,111.74189606013923,40.840680164379705
福州,01小时45分钟,114.310176,30.590076,福建省福州市,119.2916113725977,26.077388015749776
泉州,01小时40分钟,114.310176,30.590076,福建省泉州市,118.67117718480827,24.87736027375492
沈阳,02小时35分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
恩施,01小时15分钟,114.310176,30.590076,湖北省恩施土家族苗族自治州,109.48320599735897,30.274672845187926
北京大兴,02小时10分钟,114.310176,30.590076,北京市大兴区,116.33534122137306,39.72559391206863
福州,01小时40分钟,114.310176,30.590076,福建省福州市,119.2916113725977,26.077388015749776
杭州,01小时25分钟,114.310176,30.590076,浙江省杭州市,120.20625703859051,30.24845422387178
哈尔滨,03小时10分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
珠海,01小时50分钟,114.310176,30.590076,广东省珠海市,113.57185315944909,22.27465990841014
大连,02小时15分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
成都,02小时00分钟,114.310176,30.590076,四川省成都市,104.06379643064969,30.575415504297645
乌鲁木齐,04小时35分钟,114.310176,30.590076,新疆维吾尔自治区乌鲁木齐市,87.61397403729367,43.824171459621404
昆明,02小时40分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
西双版纳,03小时00分钟,114.310176,30.590076,云南省西双版纳傣族自治州,100.7958783567845,22.011896951399425
海口,03小时55分钟,114.310176,30.590076,海南省海口市,110.19412309482485,20.047918126783042
沈阳,03小时00分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
香港,02小时45分钟,114.310176,30.590076,香港特别行政区,114.16839862410322,22.32280485943514
呼和浩特,02小时15分钟,114.310176,30.590076,内蒙古自治区呼和浩特市,111.74189606013923,40.840680164379705
青岛,02小时10分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
北京首都,02小时15分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
南宁,02小时00分钟,114.310176,30.590076,广西壮族自治区南宁市,108.36233557216124,22.820386111708903
泸州,02小时20分钟,114.310176,30.590076,四川省泸州市,105.43827413075415,28.87401763673905
兰州,02小时25分钟,114.310176,30.590076,甘肃省兰州市,103.83182475519547,36.06112521284291
北海,02小时25分钟,114.310176,30.590076,广西壮族自治区北海市,109.11595508764754,21.483692657825497
济南,01小时30分钟,114.310176,30.590076,山东省济南市,117.11400007864786,36.65163870613015
海口,02小时20分钟,114.310176,30.590076,海南省海口市,110.19412309482485,20.047918126783042
固原,02小时15分钟,114.310176,30.590076,宁夏回族自治区固原市,106.23847471078597,36.01646432965178
大庆,05小时00分钟,114.310176,30.590076,黑龙江省大庆市,125.0970244071388,46.58739424182055
上海虹桥,01小时25分钟,114.310176,30.590076,上海市长宁区虹桥,121.40763275839589,31.204188655606025
台州,01小时50分钟,114.310176,30.590076,浙江省台州市,121.41636182584384,28.658666721433907
乌海,02小时35分钟,114.310176,30.590076,内蒙古自治区乌海市,106.7893897129287,39.6541053965044
贵阳,01小时50分钟,114.310176,30.590076,贵州省贵阳市,106.62463609556339,26.65036573297856
海口,02小时30分钟,114.310176,30.590076,海南省海口市,110.19412309482485,20.047918126783042
宁波,01小时30分钟,114.310176,30.590076,浙江省宁波市,121.62043799202966,29.86287669438838
毕节,02小时00分钟,114.310176,30.590076,贵州省毕节市,105.28830734961778,27.2869835140333
澳门,01小时45分钟,114.310176,30.590076,澳门特别行政区,113.54400044951504,22.201901502720197
西双版纳,03小时10分钟,114.310176,30.590076,云南省西双版纳傣族自治州,100.7958783567845,22.011896951399425
惠州,02小时00分钟,114.310176,30.590076,广东省惠州市,114.41061854702455,23.114865317101106
厦门,01小时40分钟,114.310176,30.590076,福建省厦门市,118.0839329117508,24.48227393692977
北京首都,02小时10分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
重庆,01小时45分钟,114.310176,30.590076,重庆市,106.54676332042845,29.566553244633337
北京大兴,04小时25分钟,114.310176,30.590076,北京市大兴区,116.33534122137306,39.72559391206863
海口,02小时15分钟,114.310176,30.590076,海南省海口市,110.19412309482485,20.047918126783042
上海虹桥,01小时20分钟,114.310176,30.590076,上海市长宁区虹桥,121.40763275839589,31.204188655606025
遵义,01小时50分钟,114.310176,30.590076,贵州省遵义市,107.02772704797906,27.72519718508934
锦州,02小时35分钟,114.310176,30.590076,辽宁省锦州市,121.12121590197958,41.09406424668333
长春,02小时55分钟,114.310176,30.590076,吉林省长春市,125.31713633530781,43.81454427972397
广州,01小时55分钟,114.310176,30.590076,广东省广州市,113.25916927705671,23.13273721925823
威海,03小时20分钟,114.310176,30.590076,山东省威海市,122.11546204607482,37.51228258916311
宁波,01小时25分钟,114.310176,30.590076,浙江省宁波市,121.62043799202966,29.86287669438838
上海浦东,01小时50分钟,114.310176,30.590076,上海市浦东新区,121.54006318712729,31.223605658515723
兰州,02小时15分钟,114.310176,30.590076,甘肃省兰州市,103.83182475519547,36.06112521284291
乌鲁木齐,04小时50分钟,114.310176,30.590076,新疆维吾尔自治区乌鲁木齐市,87.61397403729367,43.824171459621404
日照,01小时35分钟,114.310176,30.590076,山东省日照市,119.52142154980739,35.41719958323296
大理,02小时55分钟,114.310176,30.590076,云南省大理白族自治州大理市,100.30046715985098,25.681494069406153
三亚,02小时45分钟,114.310176,30.590076,海南省三亚市,109.50762415844993,18.254569664344377
北京首都,02小时05分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
沈阳,02小时30分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
南宁,01小时55分钟,114.310176,30.590076,广西壮族自治区南宁市,108.36233557216124,22.820386111708903
广州,01小时45分钟,114.310176,30.590076,广东省广州市,113.25916927705671,23.13273721925823
恩施,01小时05分钟,114.310176,30.590076,湖北省恩施土家族苗族自治州,109.48320599735897,30.274672845187926
深圳,02小时10分钟,114.310176,30.590076,广东省深圳市,114.05282492812273,22.54624408786885
泉州,01小时45分钟,114.310176,30.590076,福建省泉州市,118.67117718480827,24.87736027375492
哈尔滨,03小时25分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
恩施,01小时20分钟,114.310176,30.590076,湖北省恩施土家族苗族自治州,109.48320599735897,30.274672845187926
南宁,02小时05分钟,114.310176,30.590076,广西壮族自治区南宁市,108.36233557216124,22.820386111708903
琼海,02小时40分钟,114.310176,30.590076,海南省琼海市,110.47017517348013,19.26075934897195
昆明,02小时20分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
厦门,01小时35分钟,114.310176,30.590076,福建省厦门市,118.0839329117508,24.48227393692977
淮安,01小时25分钟,114.310176,30.590076,江苏省淮安市,119.10754476286783,33.55277707214488
绵阳,02小时05分钟,114.310176,30.590076,四川省绵阳市,104.67651027173808,31.469949086379014
运城,01小时25分钟,114.310176,30.590076,山西省运城市,111.00123842588893,35.02740768554994
太原,01小时35分钟,114.310176,30.590076,山西省太原市,112.54335856406222,37.86992737747488
成都,02小时10分钟,114.310176,30.590076,四川省成都市,104.06379643064969,30.575415504297645
湛江,02小时25分钟,114.310176,30.590076,广东省湛江市,110.35304514467728,21.272492848687143
烟台,01小时55分钟,114.310176,30.590076,山东省烟台市,121.4425478061541,37.4635796906365
宁波,01小时35分钟,114.310176,30.590076,浙江省宁波市,121.62043799202966,29.86287669438838
运城,01小时20分钟,114.310176,30.590076,山西省运城市,111.00123842588893,35.02740768554994
台州,01小时35分钟,114.310176,30.590076,浙江省台州市,121.41636182584384,28.658666721433907
天津,01小时55分钟,114.310176,30.590076,天津市,117.19521192889685,39.08431230999273
北京首都,01小时55分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
南宁,02小时15分钟,114.310176,30.590076,广西壮族自治区南宁市,108.36233557216124,22.820386111708903
温州,01小时40分钟,114.310176,30.590076,浙江省温州市,120.69522094158627,27.997131227693032
珠海,02小时15分钟,114.310176,30.590076,广东省珠海市,113.57185315944909,22.27465990841014
天津,02小时00分钟,114.310176,30.590076,天津市,117.19521192889685,39.08431230999273
成都天府,02小时10分钟,114.310176,30.590076,四川省成都市天府,104.05956185955627,30.54989873855247
哈尔滨,03小时30分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
北京大兴,02小时15分钟,114.310176,30.590076,北京市大兴区,116.33534122137306,39.72559391206863
三亚,02小时40分钟,114.310176,30.590076,海南省三亚市,109.50762415844993,18.254569664344377
舟山,01小时45分钟,114.310176,30.590076,浙江省舟山市,122.20323721057505,29.98798104178166
大连,02小时25分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
拉萨,03小时50分钟,114.310176,30.590076,西藏自治区拉萨市,91.17045622059155,29.656279830484728
西昌,02小时40分钟,114.310176,30.590076,四川省凉山彝族自治州西昌市,102.26267263710112,27.897846210538866
济南,01小时45分钟,114.310176,30.590076,山东省济南市,117.11400007864786,36.65163870613015
珠海,01小时55分钟,114.310176,30.590076,广东省珠海市,113.57185315944909,22.27465990841014
上海浦东,01小时55分钟,114.310176,30.590076,上海市浦东新区,121.54006318712729,31.223605658515723
哈尔滨,03小时05分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
乌鲁木齐,04小时45分钟,114.310176,30.590076,新疆维吾尔自治区乌鲁木齐市,87.61397403729367,43.824171459621404
重庆,01小时50分钟,114.310176,30.590076,重庆市,106.54676332042845,29.566553244633337
沈阳,02小时40分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
潮汕,01小时55分钟,114.310176,30.590076,广东省茂名市电白区潮汕(清源湾商业步行街店),111.29031641594611,21.517642834601283
惠州,01小时35分钟,114.310176,30.590076,广东省惠州市,114.41061854702455,23.114865317101106
乌鲁木齐,04小时55分钟,114.310176,30.590076,新疆维吾尔自治区乌鲁木齐市,87.61397403729367,43.824171459621404
丽江,02小时40分钟,114.310176,30.590076,云南省丽江市,100.22480263813961,26.858710381122
深圳,02小时25分钟,114.310176,30.590076,广东省深圳市,114.05282492812273,22.54624408786885
贵阳,03小时35分钟,114.310176,30.590076,贵州省贵阳市,106.62463609556339,26.65036573297856
沈阳,02小时45分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
南宁,02小时10分钟,114.310176,30.590076,广西壮族自治区南宁市,108.36233557216124,22.820386111708903
银川,02小时15分钟,114.310176,30.590076,宁夏回族自治区银川市,106.22657808588562,38.48732343474717
大连,02小时30分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
烟台,02小时00分钟,114.310176,30.590076,山东省烟台市,121.4425478061541,37.4635796906365
呼和浩特,02小时10分钟,114.310176,30.590076,内蒙古自治区呼和浩特市,111.74189606013923,40.840680164379705
成都天府,02小时00分钟,114.310176,30.590076,四川省成都市天府,104.05956185955627,30.54989873855247
大连,02小时10分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
昆明,02小时45分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
泉州,01小时50分钟,114.310176,30.590076,福建省泉州市,118.67117718480827,24.87736027375492
福州,01小时30分钟,114.310176,30.590076,福建省福州市,119.2916113725977,26.077388015749776
青岛,02小时25分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
哈尔滨,02小时55分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
济南,01小时35分钟,114.310176,30.590076,山东省济南市,117.11400007864786,36.65163870613015
广州,02小时05分钟,114.310176,30.590076,广东省广州市,113.25916927705671,23.13273721925823
大连,02小时05分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
杭州,01小时15分钟,114.310176,30.590076,浙江省杭州市,120.20625703859051,30.24845422387178
